SPORT,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-eye coordination,Analytical Aptitude,Total,Rank
Boxing,8.63,0.8642424242424244,8.63,0.6216216216216216,6.25,4.38,8.88,1.0,7.0,5.63,72.375,1
Ice Hockey,7.25,0.743030303030303,7.88,0.7697297297297298,7.63,4.88,6.0,0.967741935483871,7.5,7.5,71.75,2
Football,5.38,0.9248484848484849,8.13,0.7027027027027027,6.38,4.38,7.25,1.0,5.5,7.13,68.375,3
Basketball,7.38,0.6363636363636364,6.5,0.7156756756756757,8.13,5.63,4.13,0.9032258064516129,7.5,7.38,67.875,4
Wrestling,6.63,0.8945454545454546,7.13,0.4864864864864865,6.38,7.5,5.0,0.7741935483870968,4.25,6.38,63.5,5
Martial Arts,5.0,0.5915151515151515,7.75,0.6216216216216216,6.0,7.0,6.63,0.6619354838709677,6.0,6.88,63.375,6
Tennis,7.25,0.5006060606060606,7.13,0.6616216216216216,7.75,5.63,3.0,0.5483870967741935,8.38,6.75,62.75,7
Gymnastics,5.38,0.6218181818181818,6.63,0.47243243243243244,6.38,10.0,7.5,0.7909677419354838,4.5,4.13,62.5,8
Baseball/Softball,4.63,0.5757575757575758,7.63,0.6345945945945946,6.75,4.75,5.13,0.6296774193548387,9.25,6.25,62.25,9
Soccer,7.75,0.42424242424242425,5.13,0.7156756756756757,8.25,4.75,3.63,0.7096774193548387,6.5,7.5,61.5,10
Skiing: Alpine,5.13,0.5151515151515151,6.0,0.7297297297297297,6.13,5.63,8.38,0.6774193548387096,5.13,5.63,60.625,11
Water Polo,7.88,0.6824242424242424,6.88,0.5135135135135135,6.38,5.0,4.25,0.7264516129032258,6.25,5.63,60.625,11
Rugby,6.75,0.7272727272727273,6.38,0.5675675675675675,6.0,4.13,6.5,0.92,4.38,5.63,60.5,13
Lacrosse,6.63,0.5006060606060606,5.75,0.6886486486486486,6.63,4.75,4.38,0.6941935483870968,7.13,6.88,60.375,14
Rodeo: Steer Wrestling,4.0,0.7272727272727273,7.88,0.35135135135135137,4.88,5.0,7.88,0.7909677419354838,5.13,4.0,56.5,15
Track and Field: Pole Vault,3.38,0.7127272727272728,7.25,0.5945945945945946,5.38,7.0,6.63,0.45161290322580644,5.25,3.75,55.875,16
Field Hockey,6.75,0.42424242424242425,5.38,0.5805405405405406,5.75,4.63,3.75,0.5483870967741935,6.63,6.5,54.875,17
Speed Skating,7.63,0.7575757575757576,7.38,0.8918918918918919,4.0,4.25,4.5,0.5006451612903225,2.88,3.5,54.875,17
Figure Skating,6.38,0.5151515151515151,6.63,0.4864864864864865,6.88,8.25,4.88,0.41935483870967744,3.13,4.25,54.75,19
Cycling: Distance,9.63,0.6521212121212121,6.25,0.4864864864864865,3.75,2.63,5.88,0.7909677419354838,3.0,4.88,54.375,20
Volleyball,5.13,0.4703030303030303,6.63,0.47243243243243244,7.0,5.13,2.88,0.5006451612903225,7.25,5.88,54.375,20
Racquetball/Squash,6.13,0.3333333333333333,5.0,0.5264864864864865,7.25,5.88,2.38,0.27483870967741936,8.38,6.5,53.625,22
Surfing,4.63,0.48484848484848486,4.13,0.39135135135135135,6.63,5.5,8.25,0.6129032258064516,4.38,4.88,53.125,23
Fencing,4.63,0.3333333333333333,4.25,0.4864864864864865,6.13,5.63,4.88,0.45161290322580644,7.25,6.88,52.75,24
Skiing: Freestyle,4.13,0.5006060606060606,4.88,0.4864864864864865,6.63,6.88,6.63,0.5651612903225807,4.13,3.88,52.5,25
Team Handball,4.88,0.34909090909090906,5.38,0.5264864864864865,6.0,4.5,3.0,0.4038709677419355,7.88,5.88,50.75,26
Cycling: Sprints,4.25,0.6218181818181818,7.88,0.7427027027027027,4.0,2.88,4.75,0.4838709677419355,3.63,4.5,50.0,27
Bobsledding/Luge,3.5,0.5454545454545454,6.5,0.6616216216216216,4.13,3.25,7.75,0.3548387096774194,4.13,4.25,49.25,28
Ski Jumping,3.5,0.42424242424242425,5.75,0.43243243243243246,4.0,5.0,9.0,0.5006451612903225,4.38,3.5,48.875,29
Badminton,5.25,0.2727272727272727,4.0,0.5405405405405406,7.38,5.25,1.25,0.2425806451612903,7.25,6.13,48.0,30
Skiing: Nordic,9.0,0.5757575757575758,4.38,0.4864864864864865,4.0,4.0,2.75,0.6129032258064516,3.63,3.88,48.0,30
Auto Racing,5.88,0.30303030303030304,2.63,0.1081081081081081,2.75,1.75,9.88,0.46838709677419355,8.0,7.5,47.875,32
Track and Field: High Jump,3.0,0.6060606060606061,7.0,0.5945945945945946,5.63,6.63,3.5,0.3548387096774194,3.5,2.88,47.75,33
"Track and Field: Long, Triple jumps",4.0,0.5612121212121212,7.13,0.6616216216216216,5.0,5.75,2.75,0.3225806451612903,4.0,3.13,47.375,34
Diving,2.88,0.5006060606060606,4.63,0.2562162162162162,3.5,8.5,8.38,0.5483870967741935,3.0,3.0,47.0,35
Swimming (all strokes): Distance,9.25,0.5151515151515151,4.63,0.5264864864864865,3.63,5.5,2.63,0.5006451612903225,2.88,3.0,46.875,36
Skateboarding,4.13,0.3333333333333333,3.75,0.3783783783783784,6.13,5.13,6.5,0.5806451612903226,4.88,3.13,46.75,37
Track and Field: Sprints,3.5,0.5006060606060606,7.25,1.0,4.63,5.13,2.0,0.4361290322580645,2.63,2.38,46.625,38
Rowing,8.13,0.8181818181818182,7.13,0.3643243243243243,2.5,4.0,1.75,0.46838709677419355,2.88,3.63,46.125,39
Rodeo: Calf Roping,3.13,0.5309090909090909,5.0,0.39135135135135135,5.63,3.88,4.88,0.3870967741935484,6.38,3.75,46.0,40
Track and Field: Distance,9.63,0.5151515151515151,3.75,0.5805405405405406,3.25,4.38,2.0,0.6451612903225806,1.88,4.13,46.0,40
Rodeo: Bull/Bareback/Bronc Riding,3.25,0.5309090909090909,4.0,0.1210810810810811,3.63,4.25,9.5,0.8554838709677419,3.63,3.13,45.875,42
Track and Field: Middle Distance,6.0,0.5006060606060606,5.13,0.7697297297297298,4.0,4.88,2.0,0.5161290322580645,2.13,3.75,45.5,43
Weight-Lifting,4.13,1.0,9.75,0.21621621621621623,2.5,3.38,4.0,0.5161290322580645,2.25,2.38,45.0,44
Swimming (all strokes): Sprints,4.13,0.5151515151515151,6.25,0.7837837837837838,3.63,5.5,2.5,0.3225806451612903,2.75,3.0,44.125,45
Water Skiing,4.63,0.48484848484848486,4.5,0.2562162162162162,4.25,4.75,5.88,0.5006451612903225,4.13,3.25,44.0,46
Table Tennis,3.5,0.18181818181818182,4.63,0.3783783783783784,5.88,4.25,1.38,0.1458064516129032,8.88,6.0,43.0,47
Track and Field: Weights,3.25,0.833939393939394,9.13,0.2562162162162162,3.13,3.0,2.25,0.3716129032258064,4.0,2.88,42.125,48
Canoe/Kayak,6.75,0.5151515151515151,5.63,0.31027027027027027,2.75,3.88,3.63,0.3225806451612903,3.13,4.25,42.0,49
Horse Racing,4.0,0.34909090909090906,2.88,0.08108108108108107,2.88,3.75,8.0,0.4838709677419355,3.88,6.5,41.625,50
Golf,3.25,0.34909090909090906,6.13,0.1081081081081081,1.75,4.0,2.5,0.21032258064516127,6.0,6.38,37.875,51
Cheerleading,3.63,0.3187878787878788,3.38,0.17513513513513515,4.13,7.5,3.63,0.3393548387096774,2.5,2.25,36.25,52
Roller Skating,4.75,0.28848484848484846,4.0,0.4864864864864865,4.0,3.5,2.63,0.3393548387096774,2.88,2.63,36.25,52
Equestrian,3.38,0.2727272727272727,1.75,0.06702702702702702,2.5,2.88,6.0,0.25806451612903225,2.88,5.13,31.75,54
Archery,2.88,0.42424242424242425,3.13,0.05405405405405404,1.63,2.63,2.75,0.17806451612903224,6.63,3.25,30.625,55
Curling,2.25,0.19757575757575757,2.5,0.09405405405405405,2.25,2.63,1.75,0.0967741935483871,4.88,5.63,27.5,56
Bowling,2.25,0.21212121212121213,3.38,0.04,1.88,2.38,1.63,0.06451612903225806,4.75,4.13,25.375,57
Shooting,2.25,0.18181818181818182,1.38,0.02702702702702703,1.13,1.75,2.38,0.1458064516129032,6.75,4.0,24.875,58
Billiards,1.0,0.0,1.75,0.012972972972972972,1.0,2.63,1.63,0.0,5.25,5.75,21.5,59
Fishing,1.38,0.07636363636363636,1.25,0.0,1.5,1.13,0.88,0.016774193548387096,2.38,2.88,14.5,60
