number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
1,Bulbasaur,Grass,Poison,318,45,0.23783783783783785,0.17959183673469387,65,65,0.20512820512820512,1,False
2,Ivysaur,Grass,Poison,405,60,0.3081081081081081,0.23673469387755103,80,80,0.28205128205128205,1,False
3,Venusaur,Grass,Poison,525,80,0.41621621621621624,0.3183673469387755,100,100,0.38461538461538464,1,False
3,Mega Venusaur,Grass,Poison,625,80,0.5135135135135135,0.4816326530612245,122,120,0.38461538461538464,1,False
3,Gigantamax Venusaur,Grass,Poison,525,80,0.41621621621621624,0.3183673469387755,100,100,0.38461538461538464,1,False
4,Charmander,Fire,,309,39,0.25405405405405407,0.15510204081632653,60,50,0.3076923076923077,1,False
5,Charmeleon,Fire,,405,58,0.31891891891891894,0.2163265306122449,80,65,0.38461538461538464,1,False
6,Charizard,Fire,Flying,534,78,0.42702702702702705,0.2979591836734694,109,85,0.48717948717948717,1,False
6,Mega Charizard X,Fire,Dragon,634,78,0.6756756756756757,0.4326530612244898,130,85,0.48717948717948717,1,False
6,Mega Charizard Y,Fire,Flying,634,78,0.5351351351351351,0.2979591836734694,159,115,0.48717948717948717,1,False
6,Gigantamax Charizard,Fire,Flying,534,78,0.42702702702702705,0.2979591836734694,109,85,0.48717948717948717,1,False
7,Squirtle,Water,,314,44,0.23243243243243245,0.24489795918367346,50,64,0.19487179487179487,1,False
8,Wartortle,Water,,405,59,0.31351351351351353,0.30612244897959184,65,80,0.2717948717948718,1,False
9,Blastoise,Water,,530,79,0.42162162162162165,0.3877551020408163,85,105,0.37435897435897436,1,False
9,Mega Blastoise,Water,,630,79,0.5297297297297298,0.46938775510204084,135,115,0.37435897435897436,1,False
9,Gigantamax Blasoise,Blastoise,Water,530,79,0.42162162162162165,0.3877551020408163,85,105,0.37435897435897436,1,False
10,Caterpie,Bug,,195,45,0.13513513513513514,0.12244897959183673,20,20,0.20512820512820512,1,False
11,Metapod,Bug,,205,50,0.08108108108108109,0.20408163265306123,25,25,0.1282051282051282,1,False
12,Butterfree,Bug,Flying,395,60,0.21621621621621623,0.1836734693877551,90,80,0.3333333333333333,1,False
12,Gigantamax Butterfree,Bug,Flying,395,60,0.21621621621621623,0.1836734693877551,90,80,0.3333333333333333,1,False
13,Weedle,Bug,Poison,195,40,0.16216216216216217,0.10204081632653061,20,20,0.23076923076923078,1,False
14,Kakuna,Bug,Poison,205,45,0.10810810810810811,0.1836734693877551,25,25,0.15384615384615385,1,False
15,Beedrill,Bug,Poison,395,65,0.4594594594594595,0.14285714285714285,45,80,0.358974358974359,1,False
15,Mega Beedrill,Bug,Poison,495,65,0.7837837837837838,0.14285714285714285,15,80,0.717948717948718,1,False
16,Pidgey,Normal,Flying,251,40,0.21621621621621623,0.14285714285714285,35,35,0.26153846153846155,1,False
17,Pidgeotto,Normal,Flying,349,63,0.2972972972972973,0.20408163265306123,50,50,0.3384615384615385,1,False
18,Pidgeot,Normal,Flying,479,83,0.40540540540540543,0.2857142857142857,70,70,0.49230769230769234,1,False
18,Mega Pidgeot,Normal,Flying,579,83,0.40540540540540543,0.30612244897959184,135,80,0.5948717948717949,1,False
19,Rattata,Normal,,253,30,0.2756756756756757,0.12244897959183673,25,35,0.3435897435897436,1,False
19,Alolan Rattata,Dark,Normal,253,30,0.2756756756756757,0.12244897959183673,25,35,0.3435897435897436,7,False
20,Raticate,Normal,,413,55,0.41081081081081083,0.22448979591836735,50,70,0.4717948717948718,1,False
20,Alolan Raticate,Dark,Normal,413,75,0.3567567567567568,0.2653061224489796,40,80,0.36923076923076925,7,False
21,Spearow,Normal,Flying,262,40,0.2972972972972973,0.10204081632653061,31,31,0.3333333333333333,1,False
22,Fearow,Normal,Flying,442,65,0.4594594594594595,0.24489795918367346,61,61,0.48717948717948717,1,False
23,Ekans,Poison,,288,35,0.2972972972972973,0.15918367346938775,40,54,0.2564102564102564,1,False
24,Arbok,Poison,,438,60,0.43243243243243246,0.2612244897959184,65,79,0.38461538461538464,1,False
25,Pikachu,Electric,,320,35,0.2702702702702703,0.14285714285714285,50,50,0.4358974358974359,1,False
25,Gigantamax Pikachu,Electric,,320,35,0.2702702702702703,0.14285714285714285,50,50,0.4358974358974359,1,False
26,Raichu,Electric,,485,60,0.4594594594594595,0.20408163265306123,90,80,0.5384615384615384,1,False
26,Alolan Raichu,Electric,Psychic,485,60,0.43243243243243246,0.1836734693877551,95,85,0.5384615384615384,7,False
27,Sandshrew,Ground,,300,50,0.3783783783783784,0.32653061224489793,20,30,0.1794871794871795,1,False
27,Alolan Sandshrew,Ice,Steel,300,50,0.3783783783783784,0.3469387755102041,10,35,0.1794871794871795,7,False
28,Sandslash,Ground,,450,75,0.5135135135135135,0.42857142857142855,45,55,0.3076923076923077,1,False
28,Alolan Sandslash,Ice,Steel,450,75,0.5135135135135135,0.46938775510204084,25,65,0.3076923076923077,7,False
29,Nidoran♀,Poison,,275,55,0.22702702702702704,0.19183673469387755,40,40,0.18461538461538463,1,False
30,Nidorina,Poison,,365,70,0.3081081081081081,0.2530612244897959,55,55,0.26153846153846155,1,False
31,Nidoqueen,Poison,Ground,505,90,0.4702702702702703,0.3346938775510204,75,85,0.3641025641025641,1,False
32,Nidoran♂,Poison,,273,46,0.2810810810810811,0.14285714285714285,40,40,0.23076923076923078,1,False
33,Nidorino,Poison,,365,61,0.3621621621621622,0.21224489795918366,55,55,0.3076923076923077,1,False
34,Nidoking,Poison,Ground,505,81,0.5243243243243243,0.2938775510204082,85,75,0.41025641025641024,1,False
35,Clefairy,Fairy,,323,70,0.21621621621621623,0.17551020408163265,60,65,0.15384615384615385,1,False
36,Clefable,Fairy,,483,95,0.35135135135135137,0.27755102040816326,95,90,0.28205128205128205,1,False
37,Vulpix,Fire,,299,38,0.1945945945945946,0.14285714285714285,50,65,0.3076923076923077,1,False
37,Alolan Vulpix,Ice,,299,38,0.1945945945945946,0.14285714285714285,50,65,0.3076923076923077,7,False
38,Ninetales,Fire,,505,73,0.3837837837837838,0.2857142857142857,81,100,0.48717948717948717,1,False
38,Alolan Ninetales,Ice,Fairy,505,73,0.33513513513513515,0.2857142857142857,81,100,0.5333333333333333,7,False
